Name                           Value
                                            -device :xe-hpg       ; will compile all targets
                                                                    older/same as provided
                                                                    known to ocloc

                                            Deprecated notation that is still supported:
                                            <device_type> can be: dg2, mtl, arl, bmg, lnl, ptl, cls, fcs
                                            - can be single target device.


(base) PS C:\Users\12900K\Documents\Engneeing_works\dml_workspace\zbench\build\Debug> .\Sgemm.exe
SGEMM: C(1024, 1024) = 1.00 * C(1024, 1024) + 1.00 A(1024, 1024) * B(1024, 1024)
Row Threads:32 Col Threads:64
Thread-group setting: 1 x 4
driverCount = 1
driver = 0: deviceCount= 1
** validation run, only one iteration **
** For performance run, add cmd-args: Sgemm 2048 1000 **
Compute gold result
kernel size: 55.1406 KB
create module from "sgemm_genx.bin"
kern time:        0.0064 msec
host time:        0.8879 msec
GEN SGEMM (host-timer):  2252.58 Gflops
max_relerror = 3.517144e-07  absolute error = 9.155273e-05
PASSED
----------------------------
